Dataset,Target,Condition,Run,Model,RMSE,PICP80_%,n_windows
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,6,TimesFM-2.5,0.0018347998869585418,80.27397260273973,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,6,TiRex,0.0018554901693742074,80.57077625570777,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,7,Chronos-2,0.0017969247507592567,76.48401826484019,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,7,TimesFM-2.5,0.0018411901458294086,80.31963470319636,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,7,TiRex,0.0018451910878296961,80.59360730593608,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,8,Chronos-2,0.0018108078276613414,76.87214611872146,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,8,TimesFM-2.5,0.00184685932079266,79.9771689497717,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,8,TiRex,0.0018516517411378758,80.47945205479452,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,9,Chronos-2,0.0018022353884568647,77.1689497716895,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,9,TimesFM-2.5,0.0018487143899849456,81.02739726027397,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,9,TiRex,0.0018497487810047548,80.91324200913242,73
anomaly_free,Accelerometer1RMS,PAI +5σ at 1%,0,Chronos-2,0.0018358204333441194,76.14155251141553,73
anomaly_free,Accelerometer1RMS,PAI +5σ at 1%,0,TimesFM-2.5,0.001877864625805396,80.27397260273973,73
anomaly_free,Accelerometer1RMS,PAI +5σ at 1%,0,TiRex,0.001861481934966645,79.7945205479452,73
anomaly_free,Accelerometer1RMS,PAI +5σ at 1%,1,Chronos-2,0.0017931980780070786,76.36986301369863,73
anomaly_free,Accelerometer1RMS,PAI +5σ at 1%,1,TimesFM-2.5,0.0018541694411348803,81.41552511415526,73
anomaly_free,Accelerometer1RMS,PAI +5σ at 1%,1,TiRex,0.0018565288513115504,80.70776255707763,73
anomaly_free,Accelerometer1RMS,PAI +5σ at 1%,2,Chronos-2,0.001785584418145598,77.44292237442923,73
